x	ch1x	ch3x	ch5y	ch7y
+6.3000000e+0	+1.2363787e+0	-1.8016521e+0	-2.2845864e+0	-2.1615543e+0
+6.4000000e+0	+2.2196839e+0	-1.4083327e+0	-1.4979483e+0	+1.7716509e+0
+6.5000000e+0	+1.2363787e+0	+0.9515902e+0	-2.8745642e+0	+2.1649733e+0
+6.6000000e+0	-1.9101845e+0	-1.2116729e+0	-1.4979483e+0	+1.9683120e+0
+6.7000000e+0	-0.7302257e+0	+0.7549295e+0	+1.4519566e+0	+2.9516189e+0
+6.8000000e+0	+3.2029915e+0	+2.5248787e+0	+0.4686530e+0	+0.1704454e-2
+6.9000000e+0	-1.1235456e+0	-1.4083327e+0	+2.6319239e+0	+1.3783288e+0
+7.0000000e+0	+1.2363787e+0	+3.5081868e+0	+1.2552958e+0	+0.5916858e+0
+7.1000000e+0	-0.1402453e+0	-0.8183531e+0	-2.0879271e+0	+1.3783288e+0
+7.2000000e+0	-1.3202055e+0	+0.5582689e+0	-1.6946080e+0	+3.7382658e+0
+7.3000000e+0	+0.6463965e+0	-1.0150130e+0	+1.0586350e+0	+0.7883465e+0
+7.4000000e+0	+2.2196839e+0	+3.3115251e+0	-0.5146487e+0	+1.3783288e+0
+7.5000000e+0	-1.5168653e+0	+1.1482511e+0	-1.6946080e+0	-1.1782562e+0
+7.6000000e+0	-1.7135249e+0	-2.3916304e+0	-1.8912675e+0	-0.7849362e+0
+7.7000000e+0	-0.3369055e+0	-1.8016521e+0	+2.8285854e+0	+5.1149011e+0
+7.8000000e+0	-1.1235456e+0	+2.7215402e+0	+2.0419400e+0	-5.5047526e+0
+7.9000000e+0	-1.7135249e+0	-0.2283727e+0	+3.2219086e+0	+4.9182386e+0
+0.8000000e+1	+2.0230227e+0	+3.9015105e+0	+3.0252469e+0	-0.3916160e+0
+0.8100000e+1	+2.0230227e+0	+0.5582689e+0	-2.0879271e+0	+2.1649733e+0
+0.8200000e+1	+1.2363787e+0	+0.5582689e+0	-2.0879271e+0	-1.7682352e+0
+0.8300000e+1	+0.2530754e+0	-1.6049924e+0	+1.2552958e+0	+4.3282518e+0
+0.8400000e+1	-2.3035033e+0	+1.3449118e+0	+0.8619742e+0	-1.3749160e+0
+0.8500000e+1	-1.9101845e+0	-3.5715849e+0	+0.0753321e+0	+1.1816679e+0
+0.8600000e+1	-1.9101845e+0	-1.0150130e+0	+0.0753321e+0	-1.5715756e+0
+0.8700000e+1	+0.5641502e-1	-5.9314852e+0	-2.4812458e+0	-3.1448505e+0
+0.8800000e+1	-0.9268858e+0	-3.3749261e+0	-4.0545177e+0	-3.7348270e+0
+0.8900000e+1	-0.3369055e+0	+1.1482511e+0	-1.3012885e+0	-0.1949558e+0
+0.9000000e+1	+2.0230227e+0	-0.4250329e+0	-3.2678823e+0	-1.1782562e+0
+0.9100000e+1	-1.1235456e+0	+1.3449118e+0	+0.4686530e+0	-0.9815962e+0
+0.9200000e+1	+0.6463965e+0	+2.1315560e+0	+1.4519566e+0	+4.7215762e+0
+0.9300000e+1	-1.3202055e+0	+2.3282175e+0	-0.3179885e+0	-1.9648948e+0
+0.9400000e+1	+0.6463965e+0	-0.8183531e+0	-0.1213283e+0	+2.1649733e+0
+0.9500000e+1	-0.9268858e+0	+0.5582689e+0	-1.6946080e+0	-0.9815962e+0
+0.9600000e+1	+3.0063298e+0	-1.0150130e+0	+0.6653135e+0	-0.1949558e+0
+0.9700000e+1	-0.7302257e+0	+3.9015105e+0	-1.3012885e+0	+4.1315899e+0
+0.9800000e+1	-2.8934810e+0	-1.0150130e+0	+0.2719925e+0	-2.5548730e+0
+0.9900000e+1	-1.5168653e+0	+3.5081868e+0	-2.8745642e+0	-1.3749160e+0
+1.0000000e+1	+3.2029915e+0	-0.4250329e+0	+1.2552958e+0	+1.9683120e+0
+1.0100000e+1	-1.7135249e+0	+3.5081868e+0	-1.4979483e+0	-0.9815962e+0
+1.0200000e+1	+1.4330395e+0	-2.1949711e+0	-1.8912675e+0	-1.3749160e+0
+1.0300000e+1	+1.4330395e+0	-0.3171244e-1	+0.6653135e+0	+4.1315899e+0
+1.0400000e+1	-0.9268858e+0	-0.6216930e+0	-1.8912675e+0	-0.5882762e+0
+1.0500000e+1	+2.6130066e+0	+3.3115251e+0	-1.6946080e+0	-2.9481914e+0
+1.0600000e+1	+1.6297005e+0	-3.1782670e+0	-3.4645412e+0	-6.8813567e+0
+1.0700000e+1	+0.5641502e-1	+2.9182017e+0	+0.6653135e+0	-0.9815962e+0
+1.0800000e+1	-0.3369055e+0	+0.7549295e+0	-0.5146487e+0	+1.7716509e+0
+1.0900000e+1	+0.8430572e+0	-1.6049924e+0	+0.4686530e+0	+2.9516189e+0
+1.1000000e+1	-1.3202055e+0	-0.6216930e+0	-0.5146487e+0	+2.7549572e+0
+1.1100000e+1	+0.4497359e+0	-0.8183531e+0	-2.8745642e+0	+0.1983648e+0
+1.1200000e+1	-0.5335657e+0	-0.8183531e+0	+0.6653135e+0	+0.7883465e+0
+1.1300000e+1	-0.7302257e+0	+2.9182017e+0	+0.6653135e+0	+2.9516189e+0
+1.1400000e+1	+0.4497359e+0	+0.3616084e+0	-2.8745642e+0	+4.5249143e+0
+1.1500000e+1	+0.6463965e+0	+2.7215402e+0	-1.1046287e+0	+2.1649733e+0
+1.1600000e+1	-0.5335657e+0	+5.6714716e+0	-3.8578589e+0	+0.5916858e+0
+1.1700000e+1	+5.7596002e+0	+3.7048485e+0	-0.8380987e+1	+2.5582957e+0
+1.1800000e+1	+0.8119559e+1	+6.2614603e+0	-0.9757584e+1	-2.1615543e+0
+1.1900000e+1	+7.3329048e+0	+0.8228094e+1	-1.7623766e+1	-3.5381682e+0
+1.2000000e+1	+5.3662748e+0	+0.9408078e+1	-1.8410378e+1	-2.9481914e+0
+1.2100000e+1	+5.5629377e+0	+1.2554717e+1	-1.3690692e+1	-3.5381682e+0
+1.2200000e+1	+6.9395781e+0	+0.9998072e+1	-1.9393641e+1	+2.1649733e+0
+1.2300000e+1	+7.9228954e+0	+1.1374725e+1	-1.3297382e+1	-4.7181201e+0
+1.2400000e+1	+0.9496207e+1	+1.0391400e+1	-1.6640501e+1	-3.3415093e+0
+1.2500000e+1	+1.0086201e+1	+1.4521378e+1	-1.6837154e+1	-0.1949558e+0
+1.2600000e+1	+7.5295682e+0	+1.0784730e+1	-1.6640501e+1	-2.1615543e+0
+1.2700000e+1	+0.9102879e+1	+1.3538047e+1	-1.9786943e+1	-3.7348270e+0
+1.2800000e+1	+1.0872860e+1	+1.3341380e+1	-1.5657233e+1	-1.5715756e+0
+1.2900000e+1	+0.8512887e+1	+0.9014750e+1	-1.6247194e+1	-4.1281443e+0
+1.3000000e+1	+0.9889536e+1	+0.9408078e+1	-1.2314107e+1	+5.9015517e+0
+1.3100000e+1	+0.9299543e+1	+1.2948049e+1	-1.4870618e+1	+0.9850072e+0
+1.3200000e+1	+0.8119559e+1	+1.3144714e+1	-1.7820419e+1	-1.7682352e+0
+1.3300000e+1	+1.0872860e+1	+1.4128045e+1	-1.9983597e+1	-7.2746716e+0
+1.3400000e+1	+0.8906215e+1	+0.9604743e+1	-1.9000336e+1	-0.1949558e+0
+1.3500000e+1	+7.7262321e+0	+7.6381030e+0	-1.7230461e+1	+3.7382658e+0
+1.3600000e+1	+0.8119559e+1	+0.9801407e+1	-1.7427114e+1	-1.5715756e+0
+1.3700000e+1	+0.8119559e+1	+1.0981396e+1	-1.4084001e+1	-3.3415093e+0
+1.3800000e+1	+1.0282866e+1	+1.1768056e+1	-1.4870618e+1	+0.1983648e+0
+1.3900000e+1	+7.9228954e+0	+1.3144714e+1	-1.1134175e+1	-4.5214615e+0
+1.4000000e+1	+0.9299543e+1	+1.0784730e+1	-1.5657233e+1	-4.7181201e+0
+1.4100000e+1	+7.9228954e+0	+7.8347669e+0	-1.5263926e+1	-0.9815962e+0
+1.4200000e+1	+1.1069525e+1	+1.3538047e+1	-1.3690692e+1	-2.1615543e+0
+1.4300000e+1	+4.9729500e+0	+1.0981396e+1	-1.3887346e+1	-0.3916160e+0
+1.4400000e+1	+0.9299543e+1	+7.6381030e+0	-1.1920797e+1	+4.9182386e+0
+1.4500000e+1	+0.8709551e+1	+1.2554717e+1	-1.8213726e+1	+0.1983648e+0
+1.4600000e+1	+5.7596002e+0	+7.0481129e+0	-1.7230461e+1	-1.1782562e+0
+1.4700000e+1	+5.1696124e+0	+1.0194736e+1	-1.6837154e+1	+0.7883465e+0
+1.4800000e+1	+0.9496207e+1	+1.0588065e+1	-2.1163506e+1	-4.1281443e+0
+1.4900000e+1	+7.7262321e+0	+1.1178061e+1	-1.7623766e+1	-1.7682352e+0
+1.5000000e+1	+7.9228954e+0	+1.0194736e+1	-1.7820419e+1	-5.7014108e+0
+1.5100000e+1	+0.9102879e+1	+1.0981396e+1	-1.4084001e+1	+0.1704454e-2
+1.5200000e+1	+7.1362414e+0	+0.9211414e+1	-1.8017073e+1	+0.5916858e+0
+1.5300000e+1	+5.7596002e+0	+1.0391400e+1	-1.4673964e+1	-1.5715756e+0
+1.5400000e+1	+0.8709551e+1	+1.2554717e+1	-1.7033808e+1	-6.2913842e+0
+1.5500000e+1	+0.8512887e+1	+0.9998072e+1	-1.7033808e+1	-3.5381682e+0
+1.5600000e+1	+0.9692872e+1	+1.3931378e+1	-1.3100727e+1	-2.9481914e+0
+1.5700000e+1	+7.7262321e+0	+7.4414396e+0	-1.9393641e+1	-0.3916160e+0
+1.5800000e+1	+0.9496207e+1	+0.8424758e+1	-1.3887346e+1	-2.9481914e+0
+1.5900000e+1	+0.9692872e+1	+1.3341380e+1	-1.5067271e+1	-1.5715756e+0
+1.6000000e+1	+0.8119559e+1	+7.4414396e+0	-2.1360157e+1	-7.0780144e+0
+1.6100000e+1	+7.7262321e+0	+6.4581232e+0	-1.5657233e+1	-2.9481914e+0
