x	ch1x	ch3x	ch5y	ch7y
+0.0000000e+0	+1.0397218e+0	-0.4250346e+0	+1.0586390e+0	+4.1316056e+0
+0.1000000e+0	-0.7302286e+0	-0.2283736e+0	+3.2219210e+0	+2.3616436e+0
+0.2000000e+0	+3.3996661e+0	-0.8183562e+0	-0.1213287e+0	-3.1448624e+0
+0.3000000e+0	+1.8263687e+0	+1.5415788e+0	-0.1213287e+0	+3.3449550e+0
+0.4000000e+0	-0.7302286e+0	+0.9515939e+0	+0.8619775e+0	-3.7348413e+0
+0.5000000e+0	+0.8430604e+0	-1.8016590e+0	-1.4979540e+0	+2.3616436e+0
+0.6000000e+0	-1.7135315e+0	+2.7215507e+0	+1.4519622e+0	-0.3916176e+0
+0.7000000e+0	+0.5641523e-1	-1.0150169e+0	+0.8619775e+0	+4.7215943e+0
+0.8000000e+0	+0.2530764e+0	-2.7849596e+0	+2.6319339e+0	-2.7515428e+0
+0.9000000e+0	-0.9268893e+0	+0.5582711e+0	+3.2219210e+0	+2.3616436e+0
+1.0000000e+0	-3.4834716e+0	+0.7549324e+0	+1.8452858e+0	+1.9683195e+0
+1.1000000e+0	+1.2363834e+0	-3.9649177e+0	+0.6653161e+0	-3.5381818e+0
+1.2000000e+0	-0.9268893e+0	+0.3616098e+0	+0.8619775e+0	-3.1448624e+0
+1.3000000e+0	+0.4497376e+0	+3.1148753e+0	-1.6946144e+0	-4.3248196e+0
+1.4000000e+0	-0.7302286e+0	+3.9015255e+0	+1.8452858e+0	-4.3248196e+0
+1.5000000e+0	+1.4330450e+0	+3.5082002e+0	-0.3179897e+0	-1.3749212e+0
+1.6000000e+0	+1.4330450e+0	-1.0150169e+0	+0.8619775e+0	-1.9649024e+0
+1.7000000e+0	+3.3996661e+0	-3.1782794e+0	+1.4519622e+0	+5.5082474e+0
+1.8000000e+0	-2.1068521e+0	+3.7048628e+0	-2.4812553e+0	+5.1149206e+0
+1.9000000e+0	-0.1402458e+0	-1.6049986e+0	+0.0753323e+0	-1.5715816e+0
+2.0000000e+0	+1.2363834e+0	-0.2283736e+0	+0.4686548e+0	-1.9649024e+0
+2.1000000e+0	+2.2196925e+0	-0.3171256e-1	-1.8912748e+0	+1.9683195e+0
+2.2000000e+0	-1.1235499e+0	+3.5082002e+0	-0.7113115e+0	+4.3282685e+0
+2.3000000e+0	-0.3369069e+0	+1.9349024e+0	-1.8912748e+0	+3.5416176e+0
+2.4000000e+0	+0.2530764e+0	-2.3916397e+0	-1.3012935e+0	-0.3916176e+0
+2.5000000e+0	+2.4163547e+0	-0.4250346e+0	+0.2719935e+0	+5.3115840e+0
+2.6000000e+0	+1.0397218e+0	-2.1949794e+0	+1.6486239e+0	+7.0815573e+0
+2.7000000e+0	+1.2363834e+0	+1.5415788e+0	-1.6946144e+0	-5.8980913e+0
+2.8000000e+0	-0.9268893e+0	+0.9515939e+0	+0.2719935e+0	+1.7716577e+0
+2.9000000e+0	-1.1235499e+0	+2.1315644e+0	+0.8619775e+0	+0.3950268e+0
+3.0000000e+0	-1.3202106e+0	+2.3282263e+0	-1.1046330e+0	+2.9516301e+0
+3.1000000e+0	+2.2196925e+0	+2.7215507e+0	+3.2219210e+0	+0.8458208e+1
+3.2000000e+0	-1.7135315e+0	-1.8016590e+0	-1.8912748e+0	+2.1649816e+0
+3.3000000e+0	+1.6297069e+0	+2.3282263e+0	-0.7113115e+0	-1.3749212e+0
+3.4000000e+0	+4.1863170e+0	-0.4250346e+0	+1.6486239e+0	-1.3749212e+0
+3.5000000e+0	+5.9562860e+0	+3.1148753e+0	+3.6152461e+0	+0.3950268e+0
+3.6000000e+0	+0.5641523e-1	+1.5415788e+0	+1.6486239e+0	-1.3749212e+0
+3.7000000e+0	-0.7302286e+0	-0.3171256e-1	+0.2719935e+0	-1.3749212e+0
+3.8000000e+0	+0.4497376e+0	+0.3616098e+0	+1.8452858e+0	+4.7215943e+0
+3.9000000e+0	+4.9729691e+0	+1.1482555e+0	+0.6653161e+0	-4.7181382e+0
+4.0000000e+0	-0.3369069e+0	-0.8183562e+0	+0.6653161e+0	+2.5583057e+0
+4.1000000e+0	+0.8430604e+0	+4.2948513e+0	-1.4979540e+0	+7.6715498e+0
+4.2000000e+0	-0.3369069e+0	+0.3616098e+0	+0.6653161e+0	+4.7215943e+0
+4.3000000e+0	-0.1402458e+0	-1.2116776e+0	+0.8619775e+0	-0.3916176e+0
+4.4000000e+0	+0.2530764e+0	-2.9816196e+0	+0.0753323e+0	+3.3449550e+0
+4.5000000e+0	+3.0063412e+0	+0.3616098e+0	+0.8619775e+0	-1.5715816e+0
+4.6000000e+0	+1.0397218e+0	-1.4083381e+0	-2.0879350e+0	+0.9850110e+0
+4.7000000e+0	+3.0063412e+0	-0.3171256e-1	+2.6319339e+0	-1.9649024e+0
+4.8000000e+0	+2.2196925e+0	-1.9983193e+0	-2.2845953e+0	-1.5715816e+0
+4.9000000e+0	-2.8934922e+0	+1.5415788e+0	-0.3179897e+0	-3.9315009e+0
+5.0000000e+0	-0.3369069e+0	-0.8183562e+0	+3.6152461e+0	+0.5916881e+0
+5.1000000e+0	-1.5168711e+0	-0.8183562e+0	+1.8452858e+0	+0.3950268e+0
+5.2000000e+0	-1.9101918e+0	+0.1649486e+0	-1.6946144e+0	+0.3950268e+0
+5.3000000e+0	-2.5001724e+0	-0.2283736e+0	-2.8745754e+0	+1.5749959e+0
+5.4000000e+0	+1.0397218e+0	-0.8183562e+0	+3.6152461e+0	+4.9182577e+0
+5.5000000e+0	-2.5001724e+0	+2.5248885e+0	+0.0753323e+0	-2.1615627e+0
+5.6000000e+0	+1.8263687e+0	-0.6216955e+0	-0.3179897e+0	-0.9816000e+0
+5.7000000e+0	+0.5641523e-1	+1.7382405e+0	+0.2719935e+0	+0.1704460e-2
+5.8000000e+0	+3.0063412e+0	-0.3171256e-1	+0.4686548e+0	-2.7515428e+0
+5.9000000e+0	+2.2196925e+0	-0.2283736e+0	-2.2845953e+0	-4.9147973e+0
+6.0000000e+0	+1.2363834e+0	-0.2283736e+0	+1.6486239e+0	+1.3783342e+0
+6.1000000e+0	-0.1402458e+0	-1.8016590e+0	+0.2719935e+0	+0.7883495e+0
+6.2000000e+0	-0.9268893e+0	-0.8183562e+0	+0.0753323e+0	+0.7883495e+0
+6.3000000e+0	-0.3369069e+0	+2.1315644e+0	+0.8619775e+0	+2.9516301e+0
+6.4000000e+0	-1.9101918e+0	-1.0150169e+0	+1.0586390e+0	+1.3783342e+0
+6.5000000e+0	+2.8096790e+0	-0.2283736e+0	+0.6653161e+0	-3.1448624e+0
+6.6000000e+0	+1.0397218e+0	+1.1482555e+0	-0.9079723e+0	+1.1816726e+0
+6.7000000e+0	+1.0397218e+0	+0.5582711e+0	+3.6152461e+0	+1.1816726e+0
+6.8000000e+0	+1.6297069e+0	+1.3449171e+0	+3.8119087e+0	+0.1704460e-2
+6.9000000e+0	-1.5168711e+0	+3.5082002e+0	+0.8619775e+0	-1.1782607e+0
+7.0000000e+0	+1.2363834e+0	+2.7215507e+0	-1.6946144e+0	+1.7716577e+0
+7.1000000e+0	+2.4163547e+0	+1.1482555e+0	+3.0252585e+0	+0.3950268e+0
+7.2000000e+0	+2.0230305e+0	-1.2116776e+0	-0.9079723e+0	+2.5583057e+0
+7.3000000e+0	+1.4330450e+0	-0.2283736e+0	+0.8619775e+0	+0.5916881e+0
+7.4000000e+0	+0.6463990e+0	-2.9816196e+0	-0.7113115e+0	+0.1983656e+0
+7.5000000e+0	-1.1235499e+0	+2.5248885e+0	-0.9079723e+0	-0.1949566e+0
+7.6000000e+0	+0.4497376e+0	+0.1649486e+0	+3.2219210e+0	+2.3616436e+0
+7.7000000e+0	+0.6463990e+0	+2.3282263e+0	+3.2219210e+0	-2.5548828e+0
+7.8000000e+0	+1.2363834e+0	-0.4250346e+0	+0.4686548e+0	+0.5916881e+0
+7.9000000e+0	+2.0230305e+0	-1.2116776e+0	-2.0879350e+0	+1.1816726e+0
+0.8000000e+1	-2.5001724e+0	+0.3616098e+0	-1.6946144e+0	+1.5749959e+0
+0.8100000e+1	-0.9268893e+0	-1.2116776e+0	-1.1046330e+0	+4.9182577e+0
+0.8200000e+1	-5.0567460e+0	-0.6216955e+0	-1.3012935e+0	-0.1949566e+0
